id;city;lon;lat
010539105105;Sachsenwald (Forstgutsbez.),gemfr.Geb.;10,373262;53,530995
010540033033;Friedrichstadt, Stadt;9,087943;54,37346
010540056056;Husum, Stadt;9,051328;54,476434
010540108108;Reu�enk�ge;8,883096;54,620428
010540138138;T�nning, Stadt;8,941868;54,31662
010540168168;Sylt;8,30875;54,90786
010545417035;Garding, Kirchspiel;8,78356;54,317383
010545417036;Garding, Stadt;8,778217;54,327962
010545417040;Grothusenkoog;8,759033;54,302739
010545417063;Katharinenheerd;8,828074;54,335199
010545417072;Kotzenb�ll;8,905393;54,332136
010545417090;Norderfriedrichskoog;8,893583;54,400271
010545417095;Oldenswort;8,94255;54,372931
010545417100;Osterhever;8,765219;54,385302
010545417104;Poppenb�ll;8,761168;54,361585
010545417113;Sankt Peter-Ording;8,640495;54,302281
010545417134;Tating;8,708512;54,325497
010545417135;Tetenb�ll;8,828234;54,352013
010545417140;T�mlauer Koog;8,689757;54,348337
010545417145;Vollerwiek;8,794694;54,290681
010545417148;Welt;8,79406;54,302402
010545417150;Westerhever;8,67563;54,382315
010545439046;H�rnum (Sylt);8,287218;54,756098
010545439061;Kampen (Sylt);8,342294;54,955508
010545439078;List auf Sylt;8,436183;55,020026
010545439149;Wenningstedt-Braderup (Sylt);8,319785;54,931063
010545453003;Ahrenvi�l;9,206895;54,531254
010545453004;Ahrenvi�lfeld;9,274084;54,534607
010545453011;Behrendorf;9,223509;54,565192
010545453013;Bondelum;9,26682;54,556555
010545453041;Haselund;9,182961;54,591683
010545453057;Immenstedt;9,162503;54,541449
010545453079;L�wenstedt;9,174887;54,621612
010545453092;Norstedt;9,129313;54,588429
010545453101;Oster-Ohrstedt;9,227445;54,514539
010545453118;Schwesing;9,134622;54,493899
010545453123;Sollwitt;9,228482;54,594606
010545453144;Vi�l;9,180557;54,568875
010545453152;Wester-Ohrstedt;9,190063;54,507226
010545459039;Gr�de;8,717443;54,631686
010545459050;Hallig Hooge;8,550938;54,566389
010545459074;Langene�;8,594129;54,637917
010545459103;Pellworm;8,686238;54,518632
010545488005;Alkersum;8,511244;54,708245
010545488015;Borgsum;8,460009;54,699989
010545488025;Dunsum;8,414572;54,730715
010545488083;Midlum;8,518625;54,714878
010545488085;Nebel;8,353658;54,650612
010545488087;Nieblum;8,489439;54,691947
